,Week,Sum_Cases,Sum_Deaths
0,2020-01-22_confirmed,723.0,1.0
1,2020-01-23_confirmed,734.0,1.0
2,2020-01-24_confirmed,741.0,1.0
3,2020-01-25_confirmed,751.0,1.0
4,2020-01-26_confirmed,759.0,1.0
5,2020-01-27_confirmed,769.0,1.0
6,2020-01-28_confirmed,775.0,1.0
7,2020-01-29_confirmed,779.0,1.0
8,2020-01-30_confirmed,786.0,1.0
9,2020-01-31_confirmed,802.0,1.0
10,2020-02-01_confirmed,830.0,1.0
11,2020-02-02_confirmed,32.0,1.0
12,2020-02-03_confirmed,39.0,1.0
13,2020-02-04_confirmed,43.0,1.0
14,2020-02-05_confirmed,45.0,1.0
15,2020-02-06_confirmed,49.0,1.0
16,2020-02-07_confirmed,55.0,2.0
17,2020-02-08_confirmed,88.0,2.0
18,2020-02-09_confirmed,95.0,2.0
19,2020-02-10_confirmed,102.0,2.0
20,2020-02-11_confirmed,111.0,2.0
21,2020-02-12_confirmed,115.0,2.0
22,2020-02-13_confirmed,119.0,2.0
23,2020-02-14_confirmed,122.0,2.0
24,2020-02-15_confirmed,132.0,2.0
25,2020-02-16_confirmed,144.0,2.0
26,2020-02-17_confirmed,151.0,2.0
27,2020-02-18_confirmed,166.0,3.0
28,2020-02-19_confirmed,176.0,3.0
29,2020-02-20_confirmed,187.0,3.0
30,2020-02-21_confirmed,211.0,3.0
31,2020-02-22_confirmed,231.0,3.0
32,2020-02-23_confirmed,246.0,3.0
33,2020-02-24_confirmed,265.0,3.0
34,2020-02-25_confirmed,304.0,3.0
35,2020-02-26_confirmed,329.0,3.0
36,2020-02-27_confirmed,371.0,3.0
37,2020-02-28_confirmed,396.0,3.0
38,2020-02-29_confirmed,458.0,4.0
39,2020-03-01_confirmed,504.0,4.0
40,2020-03-02_confirmed,618.0,9.0
41,2020-03-03_confirmed,709.0,10.0
42,2020-03-04_confirmed,815.0,14.0
43,2020-03-05_confirmed,961.0,16.0
44,2020-03-06_confirmed,1106.0,20.0
45,2020-03-07_confirmed,1384.0,24.0
46,2020-03-08_confirmed,1645.0,27.0
47,2020-03-09_confirmed,2025.0,32.0
48,2020-03-10_confirmed,2607.0,37.0
49,2020-03-11_confirmed,3189.0,42.0
50,2020-03-12_confirmed,3978.0,47.0
51,2020-03-13_confirmed,4998.0,54.0
52,2020-03-14_confirmed,6059.0,66.0
53,2020-03-15_confirmed,7373.0,73.0
54,2020-03-16_confirmed,8852.0,109.0
55,2020-03-17_confirmed,11004.0,138.0
56,2020-03-18_confirmed,14572.0,191.0
57,2020-03-19_confirmed,20066.0,269.0
58,2020-03-20_confirmed,25495.0,313.0
59,2020-03-21_confirmed,33717.0,424.0
60,2020-03-22_confirmed,41442.0,523.0
61,2020-03-23_confirmed,51571.0,657.0
62,2020-03-24_confirmed,62714.0,893.0
63,2020-03-25_confirmed,77797.0,1192.0
64,2020-03-26_confirmed,94634.0,1548.0
65,2020-03-27_confirmed,112338.0,1995.0
66,2020-03-28_confirmed,132942.0,2607.0
67,2020-03-29_confirmed,152120.0,3189.0
68,2020-03-30_confirmed,174021.0,4007.0
69,2020-03-31_confirmed,197205.0,5139.0
70,2020-04-01_confirmed,223437.0,6337.0
71,2020-04-02_confirmed,252648.0,7968.0
72,2020-04-03_confirmed,287845.0,9666.0
73,2020-04-04_confirmed,321766.0,11145.0
74,2020-04-05_confirmed,346225.0,12698.0
75,2020-04-06_confirmed,376027.0,14510.0
76,2020-04-07_confirmed,406319.0,16871.0
77,2020-04-08_confirmed,438906.0,19107.0
78,2020-04-09_confirmed,473113.0,21312.0
79,2020-04-10_confirmed,506404.0,24055.0
80,2020-04-11_confirmed,556884.0,26566.0
81,2020-04-12_confirmed,565308.0,27684.0
82,2020-04-13_confirmed,590154.0,29470.0
83,2020-04-14_confirmed,615913.0,31156.0
84,2020-04-15_confirmed,645776.0,33653.0
85,2020-04-16_confirmed,679112.0,35898.0
86,2020-04-17_confirmed,710369.0,38072.0
87,2020-04-18_confirmed,738781.0,39402.0
88,2020-04-19_confirmed,764012.0,41959.0
89,2020-04-20_confirmed,789650.0,43812.0
90,2020-04-21_confirmed,815504.0,46630.0
91,2020-04-22_confirmed,843941.0,48617.0
92,2020-04-23_confirmed,875731.0,50360.0
93,2020-04-24_confirmed,913145.0,52916.0
94,2020-04-25_confirmed,947726.0,54818.0
95,2020-04-26_confirmed,973408.0,55937.0
96,2020-04-27_confirmed,996122.0,57305.0
97,2020-04-28_confirmed,1021687.0,59588.0
98,2020-04-29_confirmed,1049621.0,62120.0
99,2020-04-30_confirmed,1079590.0,64180.0
100,2020-05-01_confirmed,1112467.0,65939.0
101,2020-05-02_confirmed,1142970.0,67344.0
102,2020-05-03_confirmed,1167799.0,68945.0
103,2020-05-04_confirmed,1189272.0,69930.0
104,2020-05-05_confirmed,1213575.0,72349.0
105,2020-05-06_confirmed,1237807.0,74834.0
106,2020-05-07_confirmed,1265992.0,76830.0
107,2020-05-08_confirmed,1293312.0,78416.0
108,2020-05-09_confirmed,1318661.0,79839.0
109,2020-05-10_confirmed,1338996.0,80672.0
110,2020-05-11_confirmed,1356566.0,81574.0
111,2020-05-12_confirmed,1379046.0,83189.0
112,2020-05-13_confirmed,1400725.0,84825.0
113,2020-05-14_confirmed,1428042.0,86487.0
114,2020-05-15_confirmed,1453719.0,87844.0
115,2020-05-16_confirmed,1478574.0,88935.0
116,2020-05-17_confirmed,1497298.0,89752.0
117,2020-05-18_confirmed,1518623.0,90825.0
118,2020-05-19_confirmed,1540300.0,92340.0
119,2020-05-20_confirmed,1563032.0,93714.0
120,2020-05-21_confirmed,1589308.0,95034.0
121,2020-05-22_confirmed,1612845.0,96177.0
122,2020-05-23_confirmed,1635527.0,97255.0
123,2020-05-24_confirmed,1656024.0,97995.0
124,2020-05-25_confirmed,1674046.0,98779.0
125,2020-05-26_confirmed,1691624.0,99458.0
126,2020-05-27_confirmed,1713322.0,100827.0
127,2020-05-28_confirmed,1737161.0,101976.0
128,2020-05-29_confirmed,1762598.0,103192.0
129,2020-05-30_confirmed,1785493.0,104049.0
130,2020-05-31_confirmed,1804409.0,104671.0
131,2020-06-01_confirmed,1825152.0,105355.0
132,2020-06-02_confirmed,1846947.0,106598.0
133,2020-06-03_confirmed,1868319.0,107573.0
134,2020-06-04_confirmed,1890242.0,108529.0
135,2020-06-05_confirmed,1919126.0,109598.0
136,2020-06-06_confirmed,1942913.0,110361.0
137,2020-06-07_confirmed,1961261.0,110800.0
138,2020-06-08_confirmed,1977825.0,111428.0
139,2020-06-09_confirmed,1997277.0,112378.0
140,2020-06-10_confirmed,2019300.0,113244.0
141,2020-06-11_confirmed,2042865.0,114077.0
142,2020-06-12_confirmed,2068866.0,114838.0
143,2020-06-13_confirmed,2095783.0,115628.0
144,2020-06-14_confirmed,2116752.0,116040.0
145,2020-06-15_confirmed,2135870.0,116486.0
146,2020-06-16_confirmed,2163977.0,117242.0
147,2020-06-17_confirmed,2191225.0,118000.0
148,2020-06-18_confirmed,2221376.0,118680.0
149,2020-06-19_confirmed,2255709.0,119432.0
150,2020-06-20_confirmed,2290592.0,120027.0
151,2020-06-21_confirmed,2319097.0,120371.0
152,2020-06-22_confirmed,2346765.0,120792.0
153,2020-06-23_confirmed,2384929.0,121634.0
154,2020-06-24_confirmed,2425800.0,122381.0
155,2020-06-25_confirmed,2469889.0,123017.0
156,2020-06-26_confirmed,2519526.0,123697.0
157,2020-06-27_confirmed,2567060.0,126166.0
158,2020-06-28_confirmed,2608944.0,126539.0
159,2020-06-29_confirmed,2645025.0,126985.0
160,2020-06-30_confirmed,2694381.0,128339.0
161,2020-07-01_confirmed,2748396.0,129106.0
162,2020-07-02_confirmed,2806194.0,129774.0
163,2020-07-03_confirmed,2866823.0,130545.0
164,2020-07-04_confirmed,2918396.0,131027.0
165,2020-07-05_confirmed,2961464.0,131429.0
166,2020-07-06_confirmed,3005858.0,131928.0
167,2020-07-07_confirmed,3063141.0,132933.0
168,2020-07-08_confirmed,3126580.0,133833.0
169,2020-07-09_confirmed,3192481.0,134838.0
170,2020-07-10_confirmed,3262754.0,135769.0
171,2020-07-11_confirmed,3328181.0,136579.0
172,2020-07-12_confirmed,3387781.0,137301.0
173,2020-07-13_confirmed,3442087.0,137902.0
174,2020-07-14_confirmed,3511679.0,138958.0
175,2020-07-15_confirmed,3577774.0,140000.0
176,2020-07-16_confirmed,3650198.0,141041.0
177,2020-07-17_confirmed,3729529.0,142041.0
178,2020-07-18_confirmed,3796103.0,143046.0
179,2020-07-19_confirmed,3856885.0,143768.0
180,2020-07-20_confirmed,3911720.0,144478.0
181,2020-07-21_confirmed,3976335.0,145670.0
182,2020-07-22_confirmed,4042798.0,146822.0
183,2020-07-23_confirmed,4110111.0,148036.0
184,2020-07-24_confirmed,4183569.0,149410.0
185,2020-07-25_confirmed,4247829.0,150329.0
186,2020-07-26_confirmed,4303568.0,151062.0
187,2020-07-27_confirmed,4354257.0,151809.0
188,2020-07-28_confirmed,4415013.0,152446.0
189,2020-07-29_confirmed,4478215.0,154346.0
190,2020-07-30_confirmed,4544108.0,155743.0
191,2020-07-31_confirmed,4610610.0,157023.0
192,2020-08-01_confirmed,4670408.0,158176.0
193,2020-08-02_confirmed,4719936.0,158854.0
194,2020-08-03_confirmed,4760145.0,159479.0
195,2020-08-04_confirmed,4814899.0,160721.0
196,2020-08-05_confirmed,4870151.0,161968.0
197,2020-08-06_confirmed,4924517.0,163130.0
198,2020-08-07_confirmed,4984612.0,164346.0
199,2020-08-08_confirmed,5037365.0,165374.0
200,2020-08-09_confirmed,5082515.0,166161.0
201,2020-08-10_confirmed,5118724.0,166821.0
202,2020-08-11_confirmed,5168403.0,168139.0
203,2020-08-12_confirmed,5219894.0,169464.0
204,2020-08-13_confirmed,5269070.0,170502.0
205,2020-08-14_confirmed,5321330.0,171497.0
206,2020-08-15_confirmed,5369847.0,172681.0
207,2020-08-16_confirmed,5406824.0,173348.0
208,2020-08-17_confirmed,5441225.0,173948.0
209,2020-08-18_confirmed,5482558.0,175025.0
210,2020-08-19_confirmed,5526386.0,176131.0
211,2020-08-20_confirmed,5568686.0,177135.0
212,2020-08-21_confirmed,5614889.0,178055.0
213,2020-08-22_confirmed,5657710.0,179043.0
214,2020-08-23_confirmed,5689977.0,179594.0
215,2020-08-24_confirmed,5723141.0,180115.0
216,2020-08-25_confirmed,5762198.0,181133.0
217,2020-08-26_confirmed,5807411.0,182432.0
218,2020-08-27_confirmed,5851974.0,183339.0
219,2020-08-28_confirmed,5896783.0,184246.0
220,2020-08-29_confirmed,5938550.0,185188.0
221,2020-08-30_confirmed,5972090.0,185694.0
222,2020-08-31_confirmed,6003126.0,186278.0
223,2020-09-01_confirmed,6044979.0,187230.0
224,2020-09-02_confirmed,6084750.0,188111.0
225,2020-09-03_confirmed,6127194.0,188926.0
226,2020-09-04_confirmed,6175135.0,189740.0
227,2020-09-05_confirmed,6216595.0,190562.0
228,2020-09-06_confirmed,6247658.0,191060.0
229,2020-09-07_confirmed,6273331.0,191414.0
230,2020-09-08_confirmed,6298008.0,191805.0
231,2020-09-09_confirmed,6333277.0,192792.0
232,2020-09-10_confirmed,6370112.0,193740.0
233,2020-09-11_confirmed,6414686.0,194642.0
234,2020-09-12_confirmed,6452935.0,195315.0
235,2020-09-13_confirmed,6485403.0,195765.0
236,2020-09-14_confirmed,6518595.0,196219.0
237,2020-09-15_confirmed,6557046.0,197151.0
238,2020-09-16_confirmed,6599486.0,198203.0
239,2020-09-17_confirmed,6643497.0,198957.0
240,2020-09-18_confirmed,6688857.0,199757.0
241,2020-09-19_confirmed,6731284.0,200454.0
242,2020-09-20_confirmed,6763288.0,200821.0
243,2020-09-21_confirmed,6802881.0,201175.0
244,2020-09-22_confirmed,6854544.0,201955.0
245,2020-09-23_confirmed,6894396.0,202982.0
246,2020-09-24_confirmed,6938500.0,203795.0
247,2020-09-25_confirmed,6993644.0,204584.0
248,2020-09-26_confirmed,7038051.0,205383.0
249,2020-09-27_confirmed,7069876.0,205701.0
250,2020-09-28_confirmed,7105522.0,206052.0
251,2020-09-29_confirmed,7144983.0,206737.0
252,2020-09-30_confirmed,7191695.0,207641.0
253,2020-10-01_confirmed,7238747.0,208403.0
254,2020-10-02_confirmed,7286473.0,209185.0
255,2020-10-03_confirmed,7336880.0,209920.0
256,2020-10-04_confirmed,7371567.0,210311.0
257,2020-10-05_confirmed,7408658.0,210568.0
258,2020-10-06_confirmed,7452956.0,211410.0
259,2020-10-07_confirmed,7504717.0,212224.0
260,2020-10-08_confirmed,7561300.0,213028.0
261,2020-10-09_confirmed,7618274.0,213928.0
262,2020-10-10_confirmed,7668456.0,214606.0
263,2020-10-11_confirmed,7712542.0,215203.0
264,2020-10-12_confirmed,7758904.0,215590.0
265,2020-10-13_confirmed,7811372.0,216286.0
266,2020-10-14_confirmed,7869422.0,216900.0
267,2020-10-15_confirmed,7936970.0,217989.0
268,2020-10-16_confirmed,8004357.0,218801.0
269,2020-10-17_confirmed,8061891.0,219557.0
270,2020-10-18_confirmed,8110093.0,220019.0
271,2020-10-19_confirmed,8166767.0,220692.0
272,2020-10-20_confirmed,8226429.0,221589.0
273,2020-10-21_confirmed,8289673.0,222634.0
274,2020-10-22_confirmed,8365609.0,223534.0
275,2020-10-23_confirmed,8445943.0,224501.0
276,2020-10-24_confirmed,8515481.0,225301.0
277,2020-10-25_confirmed,8578706.0,225757.0
278,2020-10-26_confirmed,8650088.0,226533.0
279,2020-10-27_confirmed,8721936.0,227432.0
280,2020-10-28_confirmed,8805459.0,228356.0
281,2020-10-29_confirmed,8894321.0,229381.0
282,2020-10-30_confirmed,8990268.0,230285.0
283,2020-10-31_confirmed,9072495.0,231317.0
284,2020-11-01_confirmed,9214902.0,231829.0
285,2020-11-02_confirmed,9307024.0,232514.0
286,2020-11-03_confirmed,9406687.0,233775.0
287,2020-11-04_confirmed,9519049.0,234930.0
288,2020-11-05_confirmed,9651673.0,236375.0
289,2020-11-06_confirmed,9780949.0,237519.0
290,2020-11-07_confirmed,9893219.0,238666.0
291,2020-11-08_confirmed,10000717.0,239327.0
292,2020-11-09_confirmed,10133776.0,240454.0
293,2020-11-10_confirmed,10280441.0,241717.0
294,2020-11-11_confirmed,10437422.0,243244.0
295,2020-11-12_confirmed,10589072.0,244391.0
296,2020-11-13_confirmed,10766257.0,245653.0
297,2020-11-14_confirmed,10937668.0,247197.0
298,2020-11-15_confirmed,11071119.0,247969.0
299,2020-11-16_confirmed,11224879.0,248943.0
300,2020-11-17_confirmed,11382773.0,250448.0
301,2020-11-18_confirmed,11551712.0,252317.0
302,2020-11-19_confirmed,11748393.0,254480.0
303,2020-11-20_confirmed,11933612.0,256159.0
304,2020-11-21_confirmed,12142528.0,257782.0
305,2020-11-22_confirmed,12280886.0,258977.0
306,2020-11-23_confirmed,12449302.0,260667.0
307,2020-11-24_confirmed,12629489.0,262550.0
308,2020-11-25_confirmed,12815977.0,264718.0
309,2020-11-26_confirmed,12942961.0,266099.0
310,2020-11-27_confirmed,13129425.0,267570.0
311,2020-11-28_confirmed,13301175.0,269402.0
312,2020-11-29_confirmed,13425002.0,270447.0
313,2020-11-30_confirmed,13580956.0,272137.0
314,2020-12-01_confirmed,13787256.0,274478.0
315,2020-12-02_confirmed,14010554.0,277124.0
316,2020-12-03_confirmed,14233713.0,279762.0
317,2020-12-04_confirmed,14468179.0,282313.0
318,2020-12-05_confirmed,14681393.0,285120.0
319,2020-12-06_confirmed,14847671.0,286458.0
320,2020-12-07_confirmed,15028009.0,288302.0
321,2020-12-08_confirmed,15264341.0,290725.0
322,2020-12-09_confirmed,15499858.0,293876.0
323,2020-12-10_confirmed,15728527.0,296664.0
324,2020-12-11_confirmed,15966611.0,300132.0
325,2020-12-12_confirmed,16185666.0,302954.0
326,2020-12-13_confirmed,16363481.0,304704.0
327,2020-12-14_confirmed,16552492.0,306829.0
328,2020-12-15_confirmed,16764753.0,309697.0
329,2020-12-16_confirmed,16998249.0,313028.0
330,2020-12-17_confirmed,17231457.0,316338.0
331,2020-12-18_confirmed,17469639.0,319229.0
332,2020-12-19_confirmed,17685231.0,322542.0
333,2020-12-20_confirmed,17848834.0,324543.0
334,2020-12-21_confirmed,18010120.0,326572.0
335,2020-12-22_confirmed,18204243.0,329157.0
336,2020-12-23_confirmed,18416157.0,332224.0
337,2020-12-24_confirmed,18609204.0,335535.0
338,2020-12-25_confirmed,18704742.0,336703.0
339,2020-12-26_confirmed,18833307.0,338955.0
340,2020-12-27_confirmed,18959804.0,340637.0
341,2020-12-28_confirmed,19201842.0,344619.0
342,2020-12-29_confirmed,19461060.0,348399.0
343,2020-12-30_confirmed,19743411.0,351946.0
344,2020-12-31_confirmed,19980398.0,355549.0
345,2021-01-01_confirmed,20145605.0,358243.0
346,2021-01-02_confirmed,20378502.0,361688.0
347,2021-01-03_confirmed,20605368.0,364026.0
348,2021-01-04_confirmed,20780735.0,366379.0
349,2021-01-05_confirmed,21047416.0,370255.0
350,2021-01-06_confirmed,21346150.0,374401.0
351,2021-01-07_confirmed,21607462.0,378414.0
352,2021-01-08_confirmed,21899032.0,382141.0
353,2021-01-09_confirmed,22131778.0,386011.0
354,2021-01-10_confirmed,22332514.0,388250.0
355,2021-01-11_confirmed,22515192.0,390849.0
356,2021-01-12_confirmed,22731249.0,395007.0
357,2021-01-13_confirmed,22958512.0,399137.0
358,2021-01-14_confirmed,23201411.0,403105.0
359,2021-01-15_confirmed,23425769.0,406690.0
360,2021-01-16_confirmed,23622964.0,410618.0
361,2021-01-17_confirmed,23784254.0,412948.0
362,2021-01-18_confirmed,23925034.0,415093.0
363,2021-01-19_confirmed,24060753.0,417411.0
364,2021-01-20_confirmed,24280475.0,421674.0
365,2021-01-21_confirmed,24477319.0,425607.0
366,2021-01-22_confirmed,24659636.0,429210.0
367,2021-01-23_confirmed,24825671.0,432816.0
368,2021-01-24_confirmed,24954943.0,434884.0
369,2021-01-25_confirmed,25075396.0,436963.0
370,2021-01-26_confirmed,25222006.0,440413.0
371,2021-01-27_confirmed,25377581.0,444117.0
372,2021-01-28_confirmed,25530565.0,447537.0
373,2021-01-29_confirmed,25690344.0,450990.0
374,2021-01-30_confirmed,25829513.0,453908.0
375,2021-01-31_confirmed,25936189.0,456018.0
376,2021-02-01_confirmed,26053759.0,457975.0
377,2021-02-02_confirmed,26171732.0,461190.0
378,2021-02-03_confirmed,26290000.0,464721.0
379,2021-02-04_confirmed,26410241.0,469432.0
380,2021-02-05_confirmed,26537740.0,472502.0
381,2021-02-06_confirmed,26632509.0,475497.0
382,2021-02-07_confirmed,26730622.0,477193.0
383,2021-02-08_confirmed,26804769.0,478611.0
384,2021-02-09_confirmed,26898198.0,481307.0
385,2021-02-10_confirmed,26994663.0,484217.0
386,2021-02-11_confirmed,27092490.0,487778.0
387,2021-02-12_confirmed,27186302.0,492814.0
388,2021-02-13_confirmed,27269193.0,496072.0
389,2021-02-14_confirmed,27332482.0,497308.0
390,2021-02-15_confirmed,27382891.0,498552.0
391,2021-02-16_confirmed,27439488.0,500165.0
392,2021-02-17_confirmed,27508100.0,502460.0
393,2021-02-18_confirmed,27572931.0,504881.0
394,2021-02-19_confirmed,27643847.0,507226.0
395,2021-02-20_confirmed,27710859.0,509000.0
396,2021-02-21_confirmed,27764059.0,510213.0
397,2021-02-22_confirmed,27814852.0,511505.0
398,2021-02-23_confirmed,27882295.0,513368.0
399,2021-02-24_confirmed,27955838.0,515714.0
400,2021-02-25_confirmed,28031297.0,517722.0
401,2021-02-26_confirmed,28092309.0,519378.0
402,2021-02-27_confirmed,28168885.0,521007.0
403,2021-02-28_confirmed,28218911.0,521976.0
404,2021-03-01_confirmed,28265049.0,523353.0
405,2021-03-02_confirmed,28319411.0,524854.0
406,2021-03-03_confirmed,28387377.0,527286.0
407,2021-03-04_confirmed,28451410.0,528858.0
408,2021-03-05_confirmed,28516080.0,530356.0
409,2021-03-06_confirmed,28569899.0,531676.0
410,2021-03-07_confirmed,28611095.0,532436.0
411,2021-03-08_confirmed,28654248.0,533618.0
412,2021-03-09_confirmed,28708732.0,535189.0
413,2021-03-10_confirmed,28765805.0,536600.0
414,2021-03-11_confirmed,28823121.0,537924.0
415,2021-03-12_confirmed,28880801.0,539324.0
416,2021-03-13_confirmed,28938651.0,539153.0
417,2021-03-14_confirmed,28982774.0,539632.0
418,2021-03-15_confirmed,29027980.0,540336.0
419,2021-03-16_confirmed,29079785.0,541306.0
420,2021-03-17_confirmed,29137212.0,542260.0
421,2021-03-18_confirmed,29194107.0,543624.0
422,2021-03-19_confirmed,29250133.0,544910.0
423,2021-03-20_confirmed,29299298.0,545525.0
424,2021-03-21_confirmed,29336980.0,546140.0
425,2021-03-22_confirmed,29381288.0,546547.0
426,2021-03-23_confirmed,29435966.0,547280.0
427,2021-03-24_confirmed,29535096.0,548711.0
428,2021-03-25_confirmed,29594818.0,549722.0
429,2021-03-26_confirmed,29665754.0,550757.0
430,2021-03-27_confirmed,29728009.0,551398.0
431,2021-03-28_confirmed,29788694.0,551812.0
432,2021-03-29_confirmed,29846151.0,552713.0
433,2021-03-30_confirmed,29900656.0,553426.0
434,2021-03-31_confirmed,29975064.0,554490.0
435,2021-04-01_confirmed,30050262.0,556840.0
436,2021-04-02_confirmed,30118331.0,557629.0
437,2021-04-03_confirmed,30180561.0,558227.0
438,2021-04-04_confirmed,30217854.0,558791.0
439,2021-04-05_confirmed,30279031.0,559192.0
440,2021-04-06_confirmed,30357634.0,560173.0
