,Column,New Cases
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,1
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,1
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,0
35,2020-02-26,0
36,2020-02-27,0
37,2020-02-28,0
38,2020-02-29,1
39,2020-03-01,0
40,2020-03-02,5
41,2020-03-03,1
42,2020-03-04,4
43,2020-03-05,2
44,2020-03-06,4
45,2020-03-07,4
46,2020-03-08,3
47,2020-03-09,5
48,2020-03-10,5
49,2020-03-11,5
50,2020-03-12,5
51,2020-03-13,7
52,2020-03-14,11
53,2020-03-15,7
54,2020-03-16,29
55,2020-03-17,23
56,2020-03-18,46
57,2020-03-19,58
58,2020-03-20,46
59,2020-03-21,86
60,2020-03-22,105
61,2020-03-23,144
62,2020-03-24,225
63,2020-03-25,292
64,2020-03-26,316
65,2020-03-27,404
66,2020-03-28,556
67,2020-03-29,451
68,2020-03-30,673
69,2020-03-31,933
70,2020-04-01,1077
71,2020-04-02,1291
72,2020-04-03,1382
73,2020-04-04,1421
74,2020-04-05,1520
75,2020-04-06,1555
76,2020-04-07,2138
77,2020-04-08,2097
78,2020-04-09,2008
79,2020-04-10,2515
80,2020-04-11,2481
81,2020-04-12,1032
82,2020-04-13,1258
83,2020-04-14,3054
84,2020-04-15,2424
85,2020-04-16,2240
86,2020-04-17,2047
87,2020-04-18,1484
88,2020-04-19,2567
89,2020-04-20,1838
90,2020-04-21,2736
91,2020-04-22,1996
92,2020-04-23,1822
93,2020-04-24,2699
94,2020-04-25,1983
95,2020-04-26,1197
96,2020-04-27,1398
97,2020-04-28,2225
98,2020-04-29,2590
99,2020-04-30,2087
100,2020-05-01,1803
101,2020-05-02,1611
102,2020-05-03,1476
103,2020-05-04,1003
104,2020-05-05,2455
105,2020-05-06,2554
106,2020-05-07,2075
107,2020-05-08,1666
108,2020-05-09,1521
109,2020-05-10,932
110,2020-05-11,963
111,2020-05-12,1610
112,2020-05-13,1724
113,2020-05-14,1739
114,2020-05-15,1427
115,2020-05-16,1179
116,2020-05-17,856
117,2020-05-18,1075
118,2020-05-19,1507
119,2020-05-20,1454
120,2020-05-21,1317
121,2020-05-22,1209
122,2020-05-23,1111
123,2020-05-24,737
124,2020-05-25,774
125,2020-05-26,686
126,2020-05-27,1365
127,2020-05-28,1178
128,2020-05-29,1232
129,2020-05-30,857
130,2020-05-31,622
131,2020-06-01,734
132,2020-06-02,1222
133,2020-06-03,988
134,2020-06-04,972
135,2020-06-05,1095
136,2020-06-06,781
137,2020-06-07,458
138,2020-06-08,623
139,2020-06-09,944
140,2020-06-10,881
141,2020-06-11,846
142,2020-06-12,766
143,2020-06-13,790
144,2020-06-14,412
145,2020-06-15,459
146,2020-06-16,748
147,2020-06-17,768
148,2020-06-18,679
149,2020-06-19,759
150,2020-06-20,605
151,2020-06-21,348
152,2020-06-22,415
153,2020-06-23,841
154,2020-06-24,750
155,2020-06-25,641
156,2020-06-26,682
157,2020-06-27,2479
158,2020-06-28,369
159,2020-06-29,446
160,2020-06-30,1357
161,2020-07-01,765
162,2020-07-02,668
163,2020-07-03,776
164,2020-07-04,484
165,2020-07-05,400
166,2020-07-06,501
167,2020-07-07,1004
168,2020-07-08,903
169,2020-07-09,1003
170,2020-07-10,931
171,2020-07-11,825
172,2020-07-12,710
173,2020-07-13,596
174,2020-07-14,1056
175,2020-07-15,1041
176,2020-07-16,1043
177,2020-07-17,998
178,2020-07-18,1010
179,2020-07-19,719
180,2020-07-20,708
181,2020-07-21,1198
182,2020-07-22,1146
183,2020-07-23,1216
184,2020-07-24,1375
185,2020-07-25,919
186,2020-07-26,736
187,2020-07-27,742
188,2020-07-28,637
189,2020-07-29,1900
190,2020-07-30,1396
191,2020-07-31,1283
192,2020-08-01,1152
193,2020-08-02,678
194,2020-08-03,630
195,2020-08-04,1241
196,2020-08-05,1244
197,2020-08-06,1167
198,2020-08-07,1213
199,2020-08-08,1028
200,2020-08-09,789
201,2020-08-10,659
202,2020-08-11,1318
203,2020-08-12,1323
204,2020-08-13,1038
205,2020-08-14,996
206,2020-08-15,1184
207,2020-08-16,666
208,2020-08-17,597
209,2020-08-18,1071
210,2020-08-19,1111
211,2020-08-20,1011
212,2020-08-21,927
213,2020-08-22,989
214,2020-08-23,547
215,2020-08-24,523
216,2020-08-25,1018
217,2020-08-26,1298
218,2020-08-27,908
219,2020-08-28,908
220,2020-08-29,942
221,2020-08-30,505
222,2020-08-31,584
223,2020-09-01,952
224,2020-09-02,878
225,2020-09-03,820
226,2020-09-04,812
227,2020-09-05,822
228,2020-09-06,498
229,2020-09-07,354
230,2020-09-08,391
231,2020-09-09,987
232,2020-09-10,954
233,2020-09-11,902
234,2020-09-12,673
235,2020-09-13,450
236,2020-09-14,453
237,2020-09-15,932
238,2020-09-16,1051
239,2020-09-17,754
240,2020-09-18,798
241,2020-09-19,700
242,2020-09-20,367
243,2020-09-21,351
244,2020-09-22,783
245,2020-09-23,1027
246,2020-09-24,814
247,2020-09-25,788
248,2020-09-26,798
249,2020-09-27,317
250,2020-09-28,349
251,2020-09-29,685
252,2020-09-30,899
253,2020-10-01,762
254,2020-10-02,783
255,2020-10-03,739
256,2020-10-04,386
257,2020-10-05,254
258,2020-10-06,842
259,2020-10-07,820
260,2020-10-08,806
261,2020-10-09,899
262,2020-10-10,678
263,2020-10-11,599
264,2020-10-12,384
265,2020-10-13,698
266,2020-10-14,611
267,2020-10-15,1090
268,2020-10-16,815
269,2020-10-17,751
270,2020-10-18,464
271,2020-10-19,670
272,2020-10-20,898
273,2020-10-21,1042
274,2020-10-22,900
275,2020-10-23,969
276,2020-10-24,801
277,2020-10-25,454
278,2020-10-26,778
279,2020-10-27,896
280,2020-10-28,926
281,2020-10-29,1025
282,2020-10-30,906
283,2020-10-31,1031
284,2020-11-01,509
285,2020-11-02,686
286,2020-11-03,1260
287,2020-11-04,1153
288,2020-11-05,1440
289,2020-11-06,1146
290,2020-11-07,1147
291,2020-11-08,660
292,2020-11-09,1123
293,2020-11-10,1266
294,2020-11-11,1534
295,2020-11-12,1148
296,2020-11-13,1259
297,2020-11-14,1547
298,2020-11-15,776
299,2020-11-16,966
300,2020-11-17,1500
301,2020-11-18,1876
302,2020-11-19,2147
303,2020-11-20,1681
304,2020-11-21,1634
305,2020-11-22,1197
306,2020-11-23,1689
307,2020-11-24,1882
308,2020-11-25,2168
309,2020-11-26,1374
310,2020-11-27,1473
311,2020-11-28,1838
312,2020-11-29,1031
313,2020-11-30,1686
314,2020-12-01,2334
315,2020-12-02,2644
316,2020-12-03,2639
317,2020-12-04,2549
318,2020-12-05,2809
319,2020-12-06,1331
320,2020-12-07,1831
321,2020-12-08,2414
322,2020-12-09,3152
323,2020-12-10,2797
324,2020-12-11,3468
325,2020-12-12,2828
326,2020-12-13,1743
327,2020-12-14,2117
328,2020-12-15,2854
329,2020-12-16,3340
330,2020-12-17,3300
331,2020-12-18,2899
332,2020-12-19,3311
333,2020-12-20,1993
334,2020-12-21,2029
335,2020-12-22,2585
336,2020-12-23,3067
337,2020-12-24,3311
338,2020-12-25,1168
339,2020-12-26,2252
340,2020-12-27,1682
341,2020-12-28,3943
342,2020-12-29,3774
343,2020-12-30,3547
344,2020-12-31,3600
345,2021-01-01,2684
346,2021-01-02,3452
347,2021-01-03,2345
348,2021-01-04,2338
349,2021-01-05,3885
350,2021-01-06,4141
351,2021-01-07,4017
352,2021-01-08,3749
353,2021-01-09,3877
354,2021-01-10,2232
355,2021-01-11,2597
356,2021-01-12,4145
357,2021-01-13,4144
358,2021-01-14,3954
359,2021-01-15,3568
360,2021-01-16,3941
361,2021-01-17,2325
362,2021-01-18,2149
363,2021-01-19,2318
364,2021-01-20,4246
365,2021-01-21,3933
366,2021-01-22,3607
367,2021-01-23,3619
368,2021-01-24,2044
369,2021-01-25,2060
370,2021-01-26,3436
371,2021-01-27,3754
372,2021-01-28,3394
373,2021-01-29,3449
374,2021-01-30,2915
375,2021-01-31,2105
376,2021-02-01,1956
377,2021-02-02,3216
378,2021-02-03,3492
379,2021-02-04,4714
380,2021-02-05,3072
381,2021-02-06,2990
382,2021-02-07,1636
383,2021-02-08,1488
384,2021-02-09,2676
385,2021-02-10,2923
386,2021-02-11,3564
387,2021-02-12,5057
388,2021-02-13,3235
389,2021-02-14,1255
390,2021-02-15,1239
391,2021-02-16,1594
392,2021-02-17,2305
393,2021-02-18,2409
394,2021-02-19,2355
395,2021-02-20,1790
396,2021-02-21,1211
397,2021-02-22,1283
398,2021-02-23,1863
399,2021-02-24,2346
400,2021-02-25,2026
401,2021-02-26,1657
402,2021-02-27,1629
403,2021-02-28,969
404,2021-03-01,1354
405,2021-03-02,1510
406,2021-03-03,2341
407,2021-03-04,1495
408,2021-03-05,1437
409,2021-03-06,1320
410,2021-03-07,760
411,2021-03-08,1016
412,2021-03-09,1526
413,2021-03-10,1339
414,2021-03-11,1238
415,2021-03-12,1352
416,2021-03-13,598
417,2021-03-14,482
418,2021-03-15,689
419,2021-03-16,972
420,2021-03-17,952
421,2021-03-18,1350
422,2021-03-19,1292
423,2021-03-20,633
424,2021-03-21,615
425,2021-03-22,451
426,2021-03-23,733
427,2021-03-24,1201
428,2021-03-25,952
429,2021-03-26,989
430,2021-03-27,641
431,2021-03-28,414
432,2021-03-29,679
433,2021-03-30,688
434,2021-03-31,997
435,2021-04-01,2500
436,2021-04-02,750
437,2021-04-03,619
438,2021-04-04,578
439,2021-04-05,231
440,2021-04-06,962
441,2021-04-07,747
442,2021-04-08,788
443,2021-04-09,636
444,2021-04-10,594
445,2021-04-11,332
446,2021-04-12,628
447,2021-04-13,801
448,2021-04-14,724
449,2021-04-15,775
450,2021-04-16,826
451,2021-04-17,627
452,2021-04-18,285
453,2021-04-19,585
454,2021-04-20,774
455,2021-04-21,731
456,2021-04-22,772
457,2021-04-23,715
458,2021-04-24,620
459,2021-04-25,315
460,2021-04-26,614
461,2021-04-27,631
462,2021-04-28,763
463,2021-04-29,698
464,2021-04-30,567
465,2021-05-01,671
466,2021-05-02,250
467,2021-05-03,483
468,2021-05-04,765
469,2021-05-05,642
470,2021-05-06,636
471,2021-05-07,764
472,2021-05-08,566
473,2021-05-09,457
474,2021-05-10,382
475,2021-05-11,641
476,2021-05-12,646
477,2021-05-13,676
478,2021-05-14,689
479,2021-05-15,495
480,2021-05-16,321
481,2021-05-17,373
482,2021-05-18,845
483,2021-05-19,522
484,2021-05-20,648
485,2021-05-21,644
486,2021-05-22,447
487,2021-05-23,227
488,2021-05-24,393
489,2021-05-25,679
490,2021-05-26,480
491,2021-05-27,1168
492,2021-05-28,528
493,2021-05-29,318
494,2021-05-30,143
495,2021-05-31,129
496,2021-06-01,667
497,2021-06-02,491
498,2021-06-03,503
499,2021-06-04,450
500,2021-06-05,352
501,2021-06-06,125
502,2021-06-07,338
503,2021-06-08,358
504,2021-06-09,354
505,2021-06-10,351
506,2021-06-11,674
507,2021-06-12,264
508,2021-06-13,241
509,2021-06-14,243
510,2021-06-15,328
511,2021-06-16,282
512,2021-06-17,288
513,2021-06-18,578
514,2021-06-19,160
515,2021-06-20,65
516,2021-06-21,282
517,2021-06-22,309
518,2021-06-23,328
519,2021-06-24,230
520,2021-06-25,512
521,2021-06-26,132
522,2021-06-27,72
523,2021-06-28,205
524,2021-06-29,314
525,2021-06-30,341
526,2021-07-01,243
527,2021-07-02,253
528,2021-07-03,124
529,2021-07-04,60
530,2021-07-05,66
531,2021-07-06,306
532,2021-07-07,376
533,2021-07-08,224
534,2021-07-09,322
535,2021-07-10,112
536,2021-07-11,83
537,2021-07-12,260
538,2021-07-13,425
539,2021-07-14,335
540,2021-07-15,751
541,2021-07-16,302
542,2021-07-17,164
543,2021-07-18,114
544,2021-07-19,286
545,2021-07-20,354
546,2021-07-21,373
547,2021-07-22,323
548,2021-07-23,454
549,2021-07-24,245
550,2021-07-25,167
551,2021-07-26,423
552,2021-07-27,555
553,2021-07-28,461
554,2021-07-29,422
555,2021-07-30,461
556,2021-07-31,377
557,2021-08-01,264
558,2021-08-02,690
559,2021-08-03,865
560,2021-08-04,670
561,2021-08-05,660
562,2021-08-06,782
563,2021-08-07,550
564,2021-08-08,360
565,2021-08-09,927
566,2021-08-10,1025
567,2021-08-11,874
568,2021-08-12,773
569,2021-08-13,972
570,2021-08-14,613
571,2021-08-15,347
572,2021-08-16,1024
573,2021-08-17,1118
574,2021-08-18,1229
575,2021-08-19,905
576,2021-08-20,998
577,2021-08-21,803
578,2021-08-22,371
579,2021-08-23,1424
580,2021-08-24,2324
581,2021-08-25,1318
582,2021-08-26,1299
583,2021-08-27,1620
584,2021-08-28,1390
585,2021-08-29,332
586,2021-08-30,1538
587,2021-08-31,2907
588,2021-09-01,1700
589,2021-09-02,1401
590,2021-09-03,1818
591,2021-09-04,699
592,2021-09-05,1286
593,2021-09-06,670
594,2021-09-07,3312
595,2021-09-08,1925
596,2021-09-09,1527
597,2021-09-10,2191
598,2021-09-11,1496
599,2021-09-12,421
600,2021-09-13,2000
601,2021-09-14,3528
602,2021-09-15,1888
603,2021-09-16,1463
604,2021-09-17,104
605,2021-09-18,4146
606,2021-09-19,315
607,2021-09-20,2218
608,2021-09-21,3566
609,2021-09-22,2238
610,2021-09-23,1634
611,2021-09-24,2164
612,2021-09-25,491
613,2021-09-26,1294
614,2021-09-27,2656
615,2021-09-28,2099
616,2021-09-29,2887
617,2021-09-30,1363
618,2021-10-01,2141
619,2021-10-02,1140
620,2021-10-03,212
621,2021-10-04,1929
622,2021-10-05,2691
623,2021-10-06,1994
624,2021-10-07,1287
625,2021-10-08,1859
626,2021-10-09,292
627,2021-10-10,104
628,2021-10-11,2569
629,2021-10-12,1466
630,2021-10-13,2986
631,2021-10-14,1305
632,2021-10-15,1096
633,2021-10-16,816
634,2021-10-17,466
