,Week,Mean_cases_NV,Median_cases_NV,Mode_cases_NV,Mean_deaths_NV,Median_deaths_NV,Mode_deaths_NV,Mean_cases_ID,Median_cases_ID,Mode_cases_ID,Mean_deaths_ID,Median_deaths_ID,Mode_deaths_ID,Mean_cases_MS,Median_cases_MS,Mode_cases_MS,Mean_deaths_MS,Median_deaths_MS,Mode_deaths_MS,Mean_cases_UT,Median_cases_UT,Mode_cases_UT,Mean_deaths_UT,Median_deaths_UT,Mode_deaths_UT
0,2020-01-20/2020-01-26,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
1,2020-01-27/2020-02-02,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
2,2020-02-03/2020-02-09,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
3,2020-02-10/2020-02-16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
4,2020-02-17/2020-02-23,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,2020-02-24/2020-03-01,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
6,2020-03-02/2020-03-08,0.5714285714285714,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.14285714285714285,0.0,0,0.0,0.0,0
7,2020-03-09/2020-03-15,3.142857142857143,3.0,0,0.0,0.0,0,0.5714285714285714,0.0,0,0.0,0.0,0,1.4285714285714286,0.0,0,0.0,0.0,0,2.857142857142857,1.0,0,0.0,0.0,0
8,2020-03-16/2020-03-22,24.0,19.0,36,0.2857142857142857,0.0,0,5.857142857142857,4.0,4,0.0,0.0,0,28.0,16.0,2,0.14285714285714285,0.0,0,22.714285714285715,22.0,8,0.14285714285714285,0.0,0
9,2020-03-23/2020-03-29,106.85714285714286,117.0,0,1.8571428571428572,2.0,0,38.42857142857143,44.0,49,0.8571428571428571,1.0,0,78.57142857142857,61.0,0,1.8571428571428572,0.0,0,76.0,72.0,41,0.2857142857142857,0.0,0
10,2020-03-30/2020-04-05,130.0,104.0,83,4.428571428571429,5.0,3,112.28571428571429,110.0,24,0.5714285714285714,0.0,0,141.71428571428572,114.0,89,4.142857142857143,4.0,3,127.57142857142857,126.0,63,0.7142857142857143,0.0,0
11,2020-04-06/2020-04-12,112.57142857142857,138.0,0,8.0,5.0,0,46.42857142857143,41.0,11,2.4285714285714284,2.0,2,147.57142857142858,141.0,65,7.428571428571429,8.0,8,99.85714285714286,103.0,64,1.4285714285714286,0.0,0
12,2020-04-13/2020-04-19,157.57142857142858,98.0,0,10.285714285714286,4.0,0,35.285714285714285,22.0,4,2.5714285714285716,2.0,1,213.14285714285714,183.0,145,9.0,11.0,7,109.14285714285714,126.0,54,1.4285714285714286,1.0,1
13,2020-04-20/2020-04-26,130.71428571428572,133.0,88,6.857142857142857,6.0,1,31.571428571428573,31.0,8,1.5714285714285714,2.0,0,233.28571428571428,235.0,281,9.714285714285714,9.0,9,150.57142857142858,157.0,83,1.8571428571428572,1.0,0
14,2020-04-27/2020-05-03,121.14285714285714,84.0,35,7.285714285714286,6.0,12,24.0,27.0,31,1.0,1.0,0,234.85714285714286,229.0,112,11.0,11.0,10,150.57142857142858,156.0,104,1.2857142857142858,1.0,0
15,2020-05-04/2020-05-10,92.14285714285714,66.0,0,7.0,5.0,5,24.142857142857142,25.0,0,0.5714285714285714,0.0,0,278.2857142857143,277.0,132,18.0,12.0,32,153.85714285714286,146.0,146,2.5714285714285716,2.0,0
16,2020-05-11/2020-05-17,109.71428571428571,99.0,23,6.142857142857143,7.0,0,26.714285714285715,30.0,0,0.8571428571428571,0.0,0,255.42857142857142,233.0,173,13.142857142857142,13.0,5,140.85714285714286,159.0,73,1.7142857142857142,2.0,0
17,2020-05-18/2020-05-24,142.28571428571428,117.0,0,6.142857142857143,2.0,0,29.857142857142858,29.0,0,0.7142857142857143,0.0,0,280.42857142857144,260.0,136,14.857142857142858,16.0,16,165.28571428571428,156.0,145,2.4285714285714284,1.0,0
18,2020-05-25/2020-05-31,101.85714285714286,97.0,61,3.0,3.0,3,30.428571428571427,32.0,0,0.5714285714285714,0.0,0,319.2857142857143,318.0,204,15.571428571428571,17.0,17,134.28571428571428,99.0,0,1.5714285714285714,1.0,0
19,2020-06-01/2020-06-07,147.85714285714286,150.0,12,3.5714285714285716,3.0,3,42.714285714285715,57.0,27,0.14285714285714285,0.0,0,254.85714285714286,245.0,210,11.857142857142858,9.0,5,369.2857142857143,313.0,62,1.8571428571428572,0.0,0
20,2020-06-08/2020-06-14,221.0,216.0,116,1.2857142857142858,1.0,1,37.0,42.0,50,0.42857142857142855,0.0,0,320.14285714285717,353.0,0,10.571428571428571,10.0,0,352.7142857142857,351.0,246,2.5714285714285716,3.0,0
21,2020-06-15/2020-06-21,286.7142857142857,318.0,83,3.4285714285714284,3.0,2,86.57142857142857,92.0,0,0.42857142857142855,0.0,0,155.0,0.0,0,6.714285714285714,0.0,0,454.2857142857143,552.0,561,2.7142857142857144,3.0,3
22,2020-06-22/2020-06-28,565.0,473.0,362,1.8571428571428572,2.0,2,187.85714285714286,221.0,0,0.2857142857142857,0.0,0,756.5714285714286,551.0,368,14.428571428571429,13.0,13,531.1428571428571,564.0,402,1.2857142857142858,1.0,0
23,2020-06-29/2020-07-05,751.7142857142857,738.0,562,4.857142857142857,4.0,4,345.0,366.0,222,0.14285714285714285,0.0,0,715.4285714285714,681.0,230,10.428571428571429,10.0,4,537.2857142857143,557.0,412,2.2857142857142856,2.0,1
24,2020-07-06/2020-07-12,751.4285714285714,845.0,491,8.428571428571429,5.0,5,396.0,460.0,0,1.4285714285714286,1.0,0,768.4285714285714,791.0,355,19.142857142857142,15.0,15,654.2857142857143,640.0,525,4.571428571428571,5.0,5
25,2020-07-13/2020-07-19,1154.2857142857142,1184.0,831,7.714285714285714,7.0,7,542.1428571428571,618.0,0,2.4285714285714284,1.0,0,908.7142857142857,876.0,388,15.428571428571429,17.0,17,633.7142857142857,589.0,116,4.0,1.0,0
26,2020-07-20/2020-07-26,1010.4285714285714,966.0,815,12.428571428571429,10.0,28,553.4285714285714,525.0,347,3.857142857142857,3.0,3,1380.5714285714287,1434.0,982,19.714285714285715,15.0,3,559.0,545.0,344,4.428571428571429,7.0,0
27,2020-07-27/2020-08-02,1048.7142857142858,997.0,871,14.0,5.0,0,420.14285714285717,475.0,0,7.142857142857143,7.0,0,1162.857142857143,1164.0,613,23.428571428571427,24.0,0,450.0,464.0,369,5.142857142857143,6.0,4
28,2020-08-03/2020-08-09,865.2857142857143,887.0,649,17.857142857142858,15.0,15,507.85714285714283,558.0,182,5.857142857142857,6.0,6,960.4285714285714,1045.0,525,33.285714285714285,37.0,7,430.2857142857143,408.0,295,3.7142857142857144,3.0,3
29,2020-08-10/2020-08-16,725.1428571428571,697.0,527,16.428571428571427,15.0,15,401.0,495.0,0,4.571428571428571,4.0,0,710.0,647.0,381,27.857142857142858,32.0,32,362.42857142857144,340.0,279,3.857142857142857,2.0,2
30,2020-08-17/2020-08-23,613.5714285714286,532.0,143,17.857142857142858,0.0,0,311.7142857142857,370.0,0,5.285714285714286,4.0,0,821.0,825.0,276,22.285714285714285,24.0,34,349.7142857142857,314.0,263,3.2857142857142856,2.0,0
31,2020-08-24/2020-08-30,470.0,445.0,249,15.0,14.0,0,288.0,309.0,0,7.428571428571429,8.0,0,683.7142857142857,643.0,508,28.571428571428573,23.0,8,391.2857142857143,404.0,246,3.0,3.0,0
32,2020-08-31/2020-09-06,382.42857142857144,387.0,0,12.428571428571429,3.0,0,257.2857142857143,280.0,0,3.7142857142857144,3.0,0,602.2857142857143,633.0,276,20.428571428571427,20.0,20,394.85714285714283,435.0,64,2.142857142857143,2.0,0
33,2020-09-07/2020-09-13,269.42857142857144,285.0,138,8.571428571428571,10.0,0,257.42857142857144,307.0,112,4.428571428571429,3.0,1,425.85714285714283,423.0,242,15.428571428571429,15.0,15,468.0,417.0,304,1.5714285714285714,1.0,1
34,2020-09-14/2020-09-20,331.57142857142856,322.0,195,11.571428571428571,12.0,12,316.14285714285717,284.0,245,3.857142857142857,4.0,4,499.42857142857144,505.0,153,16.714285714285715,16.0,1,841.1428571428571,897.0,528,1.0,0.0,0
35,2020-09-21/2020-09-27,415.57142857142856,370.0,66,7.857142857142857,9.0,9,400.57142857142856,446.0,0,2.5714285714285716,2.0,2,499.2857142857143,552.0,183,15.857142857142858,17.0,8,973.4285714285714,1015.0,606,1.8571428571428572,1.0,0
36,2020-09-28/2020-10-04,477.7142857142857,421.0,381,5.428571428571429,6.0,3,486.57142857142856,513.0,0,2.857142857142857,3.0,0,518.8571428571429,591.0,191,13.428571428571429,12.0,1,996.0,916.0,179,3.5714285714285716,2.0,0
37,2020-10-05/2020-10-11,521.4285714285714,466.0,0,5.428571428571429,2.0,0,623.5714285714286,664.0,365,3.857142857142857,3.0,3,634.7142857142857,578.0,215,12.428571428571429,13.0,0,1020.5714285714286,1173.0,26,4.714285714285714,4.0,4
38,2020-10-12/2020-10-18,664.1428571428571,705.0,0,7.142857142857143,3.0,0,645.1428571428571,645.0,0,3.142857142857143,3.0,6,808.1428571428571,751.0,297,10.142857142857142,10.0,0,1388.0,1371.0,905,4.714285714285714,3.0,2
39,2020-10-19/2020-10-25,754.7142857142857,779.0,483,5.285714285714286,5.0,5,873.1428571428571,987.0,0,5.714285714285714,6.0,9,739.1428571428571,795.0,0,13.142857142857142,8.0,8,1491.2857142857142,1374.0,0,4.0,4.0,4
40,2020-10-26/2020-11-01,727.4285714285714,723.0,0,4.142857142857143,3.0,0,913.4285714285714,882.0,0,8.571428571428571,5.0,0,728.7142857142857,822.0,340,12.142857142857142,14.0,0,1666.142857142857,1760.0,1144,6.0,5.0,3
41,2020-11-02/2020-11-08,1295.5714285714287,1254.0,898,10.285714285714286,7.0,1,1124.7142857142858,1265.0,649,8.0,7.0,2,905.8571428571429,804.0,516,13.428571428571429,13.0,13,2299.0,2257.0,1197,6.428571428571429,6.0,0
42,2020-11-09/2020-11-15,1441.142857142857,1313.0,953,8.142857142857142,6.0,1,1326.0,1266.0,929,10.428571428571429,12.0,0,1014.8571428571429,1271.0,0,14.428571428571429,5.0,0,3034.4285714285716,2731.0,2130,8.714285714285714,9.0,9
43,2020-11-16/2020-11-22,1575.142857142857,1656.0,0,14.428571428571429,8.0,0,1344.142857142857,1310.0,819,12.571428571428571,8.0,1,1266.4285714285713,1395.0,588,19.0,19.0,19,3331.1428571428573,3212.0,1985,10.571428571428571,9.0,9
44,2020-11-23/2020-11-29,2560.5714285714284,2840.0,0,17.428571428571427,23.0,23,1233.7142857142858,1169.0,0,10.428571428571429,6.0,0,1230.2857142857142,1092.0,675,18.571428571428573,16.0,0,2374.714285714286,2091.0,481,10.571428571428571,13.0,13
45,2020-11-30/2020-12-06,2457.8571428571427,2490.0,1574,23.857142857142858,23.0,23,1345.5714285714287,1430.0,0,16.142857142857142,18.0,31,1878.0,1942.0,1141,22.142857142857142,28.0,1,3100.0,3055.0,1987,10.285714285714286,9.0,1
46,2020-12-07/2020-12-13,2540.1428571428573,2633.0,1503,31.0,39.0,4,1638.4285714285713,1825.0,544,20.428571428571427,19.0,6,2055.5714285714284,2283.0,1263,34.0,41.0,56,2644.8571428571427,2371.0,2083,16.571428571428573,16.0,9
47,2020-12-14/2020-12-20,2043.5714285714287,2310.0,0,29.285714285714285,33.0,0,1254.857142857143,1278.0,894,14.857142857142858,17.0,1,2144.714285714286,2222.0,1700,30.0,34.0,5,2444.1428571428573,2474.0,1924,14.285714285714286,13.0,7
48,2020-12-21/2020-12-27,2019.857142857143,2186.0,0,27.428571428571427,34.0,0,1271.0,919.0,0,15.857142857142858,14.0,0,1722.142857142857,1527.0,845,28.142857142857142,24.0,2,0.0,0.0,0,0.0,0.0,0
49,2020-12-28/2021-01-03,2145.8571428571427,1825.0,730,31.857142857142858,18.0,5,898.5714285714286,1123.0,0,13.428571428571429,12.0,0,2239.0,1943.0,1701,45.142857142857146,29.0,0,4679.285714285715,2806.0,101,21.0,16.0,3
50,2021-01-04/2021-01-10,2391.8571428571427,2601.0,0,37.42857142857143,38.0,0,1022.8571428571429,1066.0,432,12.285714285714286,10.0,6,2431.5714285714284,1767.0,0,32.714285714285715,12.0,0,3172.4285714285716,2661.0,2266,13.142857142857142,9.0,2
51,2021-01-11/2021-01-17,1828.142857142857,1640.0,0,43.142857142857146,33.0,0,841.0,806.0,0,10.428571428571429,2.0,0,1913.2857142857142,1942.0,1227,75.0,55.0,31,2542.285714285714,2213.0,1451,14.142857142857142,12.0,12
52,2021-01-18/2021-01-24,1313.857142857143,1494.0,0,34.0,12.0,0,564.5714285714286,598.0,0,8.857142857142858,1.0,0,1677.7142857142858,1702.0,1193,35.714285714285715,39.0,3,1793.5714285714287,1742.0,1081,14.714285714285714,12.0,7
53,2021-01-25/2021-01-31,1048.2857142857142,1016.0,0,34.0,43.0,0,453.85714285714283,527.0,0,8.0,6.0,0,1540.2857142857142,1528.0,811,39.142857142857146,37.0,37,1453.2857142857142,1474.0,849,10.0,6.0,2
54,2021-02-01/2021-02-07,811.5714285714286,881.0,0,35.42857142857143,39.0,0,360.85714285714283,404.0,0,6.0,6.0,0,953.8571428571429,900.0,1210,32.0,26.0,3,1145.4285714285713,1200.0,0,10.285714285714286,5.0,3
55,2021-02-08/2021-02-14,537.7142857142857,546.0,0,24.428571428571427,26.0,0,325.0,351.0,0,5.285714285714286,5.0,0,822.7142857142857,785.0,635,27.857142857142858,25.0,1,950.2857142857143,949.0,495,8.142857142857142,10.0,10
56,2021-02-15/2021-02-21,441.42857142857144,363.0,0,25.142857142857142,15.0,0,238.0,286.0,0,3.142857142857143,0.0,0,458.2857142857143,403.0,134,12.857142857142858,7.0,0,777.2857142857143,764.0,511,8.142857142857142,8.0,8
57,2021-02-22/2021-02-28,389.7142857142857,457.0,0,12.285714285714286,14.0,0,284.85714285714283,283.0,0,4.857142857142857,1.0,0,591.2857142857143,670.0,229,18.285714285714285,24.0,0,642.8571428571429,651.0,0,11.714285714285714,12.0,0
58,2021-03-01/2021-03-07,307.0,376.0,0,11.0,15.0,0,255.28571428571428,299.0,0,2.7142857142857144,2.0,0,399.7142857142857,381.0,210,18.142857142857142,19.0,19,516.4285714285714,549.0,0,5.857142857142857,6.0,6
59,2021-03-08/2021-03-14,470.2857142857143,419.0,0,11.428571428571429,13.0,0,329.2857142857143,364.0,0,4.428571428571429,3.0,0,456.85714285714283,437.0,70,13.285714285714286,13.0,19,377.42857142857144,519.0,0,6.142857142857143,2.0,2
60,2021-03-15/2021-03-21,232.71428571428572,256.0,0,7.285714285714286,4.0,0,312.14285714285717,349.0,0,4.714285714285714,3.0,2,294.14285714285717,350.0,102,8.0,7.0,2,591.0,560.0,0,6.142857142857143,5.0,5
61,2021-03-22/2021-03-28,282.7142857142857,345.0,11,8.857142857142858,8.0,0,286.85714285714283,340.0,1,1.8571428571428572,1.0,0,254.14285714285714,266.0,95,6.428571428571429,4.0,0,419.0,453.0,0,8.285714285714286,7.0,0
62,2021-03-29/2021-04-04,293.42857142857144,276.0,0,5.285714285714286,3.0,0,250.28571428571428,0.0,0,1.4285714285714286,0.0,0,210.14285714285714,271.0,78,7.714285714285714,4.0,0,347.85714285714283,422.0,0,2.142857142857143,2.0,0
63,2021-04-05/2021-04-11,1189.142857142857,452.0,166,24.428571428571427,9.0,9,313.2857142857143,337.0,0,3.857142857142857,4.0,2,194.28571428571428,238.0,0,5.571428571428571,2.0,0,473.42857142857144,443.0,259,3.857142857142857,2.0,2
64,2021-04-12/2021-04-18,315.85714285714283,395.0,0,4.714285714285714,6.0,0,199.28571428571428,212.0,0,3.4285714285714284,3.0,0,248.14285714285714,275.0,70,8.142857142857142,6.0,0,347.2857142857143,363.0,187,0.7142857142857143,1.0,0
65,2021-04-19/2021-04-25,372.14285714285717,436.0,0,8.142857142857142,9.0,0,202.0,234.0,0,2.0,0.0,0,166.14285714285714,212.0,0,3.142857142857143,2.0,0,384.14285714285717,344.0,472,2.2857142857142856,2.0,1
66,2021-04-26/2021-05-02,371.14285714285717,405.0,0,6.0,5.0,11,210.42857142857142,210.0,0,2.142857142857143,1.0,0,221.57142857142858,172.0,0,3.4285714285714284,3.0,0,368.7142857142857,338.0,246,3.142857142857143,3.0,1
67,2021-05-03/2021-05-09,363.14285714285717,394.0,0,4.857142857142857,7.0,0,161.71428571428572,187.0,0,2.142857142857143,0.0,0,180.85714285714286,208.0,0,4.142857142857143,2.0,0,334.2857142857143,386.0,0,2.857142857142857,1.0,0
68,2021-05-10/2021-05-16,365.57142857142856,436.0,0,4.571428571428571,6.0,0,160.0,81.0,0,1.1428571428571428,0.0,0,220.57142857142858,205.0,0,3.7142857142857144,4.0,0,316.42857142857144,320.0,207,4.857142857142857,2.0,1
69,2021-05-17/2021-05-23,259.0,302.0,0,3.142857142857143,3.0,0,165.71428571428572,188.0,0,1.5714285714285714,0.0,0,223.14285714285714,257.0,0,3.5714285714285716,1.0,0,272.85714285714283,262.0,164,4.571428571428571,4.0,1
70,2021-05-24/2021-05-30,199.42857142857142,232.0,0,4.857142857142857,7.0,0,134.85714285714286,135.0,0,1.4285714285714286,2.0,0,162.14285714285714,154.0,0,4.428571428571429,4.0,0,221.42857142857142,192.0,148,1.5714285714285714,2.0,0
71,2021-05-31/2021-06-06,234.85714285714286,350.0,0,2.0,1.0,0,111.85714285714286,152.0,0,1.5714285714285714,0.0,0,111.71428571428571,101.0,0,2.142857142857143,1.0,0,230.71428571428572,255.0,0,1.4285714285714286,1.0,0
72,2021-06-07/2021-06-13,249.71428571428572,262.0,0,3.142857142857143,3.0,0,102.85714285714286,118.0,0,2.2857142857142856,0.0,0,132.28571428571428,107.0,0,4.0,4.0,0,195.0,252.0,0,1.1428571428571428,1.0,0
73,2021-06-14/2021-06-20,247.85714285714286,296.0,0,3.857142857142857,4.0,0,70.14285714285714,87.0,0,0.8571428571428571,0.0,0,119.0,83.0,0,2.5714285714285716,1.0,0,294.85714285714283,325.0,0,1.0,0.0,0
74,2021-06-21/2021-06-27,391.2857142857143,447.0,0,3.0,1.0,0,97.71428571428571,89.0,0,3.2857142857142856,2.0,0,127.0,118.0,0,3.4285714285714284,1.0,0,320.85714285714283,309.0,0,3.5714285714285716,3.0,0
75,2021-06-28/2021-07-04,449.85714285714283,543.0,0,4.285714285714286,3.0,0,68.85714285714286,83.0,0,1.8571428571428572,2.0,0,192.71428571428572,242.0,0,3.4285714285714284,3.0,0,399.0,431.0,0,3.857142857142857,3.0,3
76,2021-07-05/2021-07-11,472.7142857142857,453.0,0,3.2857142857142856,2.0,0,94.14285714285714,123.0,0,1.0,1.0,0,267.2857142857143,379.0,0,2.857142857142857,1.0,0,409.42857142857144,394.0,0,2.142857142857143,2.0,0
77,2021-07-12/2021-07-18,717.7142857142857,855.0,0,5.428571428571429,6.0,0,146.42857142857142,86.0,0,1.1428571428571428,0.0,0,392.42857142857144,534.0,0,3.7142857142857144,4.0,0,520.4285714285714,572.0,0,2.857142857142857,3.0,0
78,2021-07-19/2021-07-25,849.5714285714286,942.0,0,8.428571428571429,3.0,0,195.57142857142858,233.0,0,1.4285714285714286,1.0,0,910.8571428571429,961.0,0,5.285714285714286,8.0,0,542.7142857142857,559.0,0,1.7142857142857142,1.0,0
79,2021-07-26/2021-08-01,1051.142857142857,1179.0,0,13.571428571428571,17.0,0,322.7142857142857,358.0,0,2.0,1.0,0,1475.0,1643.0,0,5.857142857142857,6.0,0,864.1428571428571,843.0,0,3.7142857142857144,3.0,0
80,2021-08-02/2021-08-08,1024.7142857142858,1135.0,0,13.285714285714286,11.0,0,312.14285714285717,0.0,0,1.8571428571428572,0.0,0,2092.0,2094.0,0,11.142857142857142,8.0,0,858.8571428571429,894.0,0,6.142857142857143,7.0,0
81,2021-08-09/2021-08-15,1078.857142857143,1125.0,0,22.142857142857142,24.0,0,769.1428571428571,736.0,0,5.0,0.0,0,3285.4285714285716,3488.0,0,20.0,25.0,0,843.7142857142857,897.0,0,4.428571428571429,4.0,0
82,2021-08-16/2021-08-22,1082.0,1207.0,0,17.142857142857142,21.0,0,697.8571428571429,795.0,0,5.428571428571429,2.0,0,3586.0,4085.0,0,32.857142857142854,36.0,0,1038.5714285714287,1116.0,0,6.714285714285714,9.0,0
83,2021-08-23/2021-08-29,1122.7142857142858,1137.0,0,21.857142857142858,24.0,0,706.8571428571429,834.0,0,6.285714285714286,5.0,0,3055.8571428571427,3385.0,0,41.142857142857146,34.0,0,1174.2857142857142,1286.0,0,7.285714285714286,9.0,0
84,2021-08-30/2021-09-05,1148.0,1242.0,0,21.428571428571427,26.0,0,1092.5714285714287,1223.0,0,7.428571428571429,4.0,0,2746.1428571428573,2939.0,0,37.285714285714285,33.0,0,1364.857142857143,1635.0,0,5.0,6.0,6
85,2021-09-06/2021-09-12,1043.7142857142858,1115.0,0,17.0,21.0,0,1012.7142857142857,0.0,0,11.571428571428571,0.0,0,1921.2857142857142,1892.0,0,52.142857142857146,37.0,0,1507.142857142857,1539.0,0,9.428571428571429,8.0,0
86,2021-09-13/2021-09-19,1171.857142857143,1361.0,0,20.428571428571427,26.0,0,986.1428571428571,1218.0,0,20.0,20.0,0,1871.5714285714287,2321.0,0,44.142857142857146,49.0,0,1572.2857142857142,1749.0,0,9.0,11.0,0
