,Week,Mean_cases_NV,Median_cases_NV,Mode_cases_NV,Mean_deaths_NV,Median_deaths_NV,Mode_deaths_NV,Mean_cases_ID,Median_cases_ID,Mode_cases_ID,Mean_deaths_ID,Median_deaths_ID,Mode_deaths_ID,Mean_cases_MS,Median_cases_MS,Mode_cases_MS,Mean_deaths_MS,Median_deaths_MS,Mode_deaths_MS,Mean_cases_UT,Median_cases_UT,Mode_cases_UT,Mean_deaths_UT,Median_deaths_UT,Mode_deaths_UT
87,2021-09-20/2021-09-26,913.1428571428571,1053.0,0,24.285714285714285,32.0,0,1459.0,1354.0,0,21.857142857142858,26.0,0,1355.5714285714287,1557.0,0,30.142857142857142,30.0,0,1387.5714285714287,1598.0,0,11.714285714285714,12.0,0
88,2021-09-27/2021-10-03,833.2857142857143,902.0,0,21.571428571428573,28.0,0,1337.142857142857,1684.0,0,25.428571428571427,24.0,0,902.0,1098.0,0,31.571428571428573,46.0,0,1358.7142857142858,1704.0,0,10.571428571428571,12.0,0
89,2021-10-04/2021-10-10,1987.857142857143,267.0,0,17.0,22.0,0,1223.4285714285713,1367.0,0,26.571428571428573,24.0,0,722.1428571428571,834.0,0,23.571428571428573,19.0,0,1425.857142857143,1637.0,0,7.285714285714286,9.0,0
90,2021-10-11/2021-10-17,682.4285714285714,707.0,0,19.571428571428573,22.0,0,1202.142857142857,0.0,0,19.142857142857142,0.0,0,502.7142857142857,528.0,0,15.142857142857142,10.0,0,1279.5714285714287,1253.0,0,10.428571428571429,8.0,0
91,2021-10-18/2021-10-24,665.1428571428571,716.0,0,14.428571428571429,15.0,0,1171.142857142857,0.0,0,21.714285714285715,0.0,0,472.42857142857144,422.0,0,10.428571428571429,11.0,0,1392.5714285714287,1343.0,0,8.714285714285714,5.0,0
92,2021-10-25/2021-10-31,520.7142857142857,686.0,0,15.428571428571429,23.0,0,942.0,1076.0,0,18.714285714285715,25.0,0,460.14285714285717,343.0,0,12.142857142857142,5.0,0,1569.5714285714287,1810.0,0,11.428571428571429,9.0,0
93,2021-11-01/2021-11-07,834.4285714285714,847.0,0,11.714285714285714,12.0,0,725.4285714285714,803.0,0,15.714285714285714,15.0,0,319.7142857142857,395.0,0,10.571428571428571,6.0,0,1531.7142857142858,1874.0,0,11.142857142857142,11.0,0
94,2021-11-08/2021-11-14,673.5714285714286,657.0,0,13.714285714285714,12.0,0,518.0,724.0,0,13.0,3.0,0,273.2857142857143,299.0,0,5.571428571428571,4.0,0,1557.5714285714287,1531.0,0,8.714285714285714,12.0,0
95,2021-11-15/2021-11-21,679.2857142857143,711.0,0,15.714285714285714,16.0,0,496.2857142857143,650.0,0,15.714285714285714,17.0,0,325.57142857142856,380.0,0,6.0,5.0,0,1631.7142857142858,1764.0,0,11.571428571428571,13.0,0
96,2021-11-22/2021-11-28,448.7142857142857,0.0,0,7.714285714285714,0.0,0,353.42857142857144,391.0,0,6.571428571428571,0.0,0,269.14285714285717,0.0,0,4.714285714285714,0.0,0,1314.4285714285713,1153.0,0,8.428571428571429,13.0,0
97,2021-11-29/2021-12-05,768.0,843.0,0,13.857142857142858,15.0,0,449.2857142857143,594.0,0,11.142857142857142,8.0,0,410.2857142857143,468.0,0,5.0,2.0,0,1403.142857142857,1873.0,0,11.0,17.0,0
98,2021-12-06/2021-12-12,704.5714285714286,706.0,0,17.0,16.0,0,407.42857142857144,489.0,0,8.428571428571429,8.0,0,515.8571428571429,652.0,0,4.142857142857143,5.0,0,1247.0,1330.0,0,10.857142857142858,10.0,0
99,2021-12-13/2021-12-19,743.4285714285714,837.0,0,12.714285714285714,15.0,0,327.2857142857143,389.0,0,5.714285714285714,4.0,0,477.14285714285717,575.0,0,4.0,4.0,0,1002.2857142857143,1017.0,0,9.142857142857142,9.0,0
100,2021-12-20/2021-12-26,856.1428571428571,1165.0,0,12.285714285714286,10.0,0,273.7142857142857,355.0,0,4.428571428571429,0.0,0,435.2857142857143,0.0,0,5.571428571428571,0.0,0,858.0,811.0,0,7.142857142857143,5.0,0
101,2021-12-27/2022-01-02,1700.2857142857142,1805.0,0,8.0,3.0,0,522.2857142857143,723.0,0,9.0,1.0,0,2605.0,2698.0,0,8.142857142857142,5.0,0,1898.4285714285713,1816.0,0,4.714285714285714,4.0,0
102,2022-01-03/2022-01-09,3958.714285714286,2902.0,0,12.857142857142858,8.0,0,1097.4285714285713,1335.0,0,10.428571428571429,4.0,0,6115.714285714285,6592.0,0,11.0,8.0,0,6434.857142857143,7247.0,0,14.285714285714286,13.0,0
103,2022-01-10/2022-01-16,6268.142857142857,6270.0,0,16.714285714285715,21.0,0,1803.5714285714287,2319.0,0,5.0,3.0,0,6868.714285714285,0.0,0,13.857142857142858,0.0,0,9756.857142857143,10220.0,0,9.142857142857142,8.0,0
104,2022-01-17/2022-01-23,5962.285714285715,5185.0,0,15.571428571428571,21.0,0,2346.0,3463.0,0,7.571428571428571,6.0,0,6679.142857142857,7509.0,0,13.857142857142858,14.0,0,10807.857142857143,11601.0,0,11.285714285714286,11.0,0
105,2022-01-24/2022-01-30,4797.571428571428,4393.0,0,25.428571428571427,37.0,0,2854.714285714286,3653.0,0,11.0,8.0,0,5183.428571428572,5533.0,0,15.714285714285714,19.0,0,7037.428571428572,6600.0,0,11.0,10.0,0
106,2022-01-31/2022-02-06,2446.1428571428573,2104.0,0,32.857142857142854,37.0,0,1945.857142857143,2326.0,0,11.142857142857142,12.0,0,4885.142857142857,5940.0,0,59.857142857142854,48.0,0,3288.0,2845.0,0,9.428571428571429,11.0,0
107,2022-02-07/2022-02-13,1158.7142857142858,1026.0,0,27.285714285714285,34.0,0,1761.857142857143,2314.0,0,10.714285714285714,1.0,0,3550.714285714286,2065.0,0,44.0,50.0,0,1804.7142857142858,1791.0,0,12.571428571428571,11.0,0
108,2022-02-14/2022-02-20,574.7142857142857,323.0,0,24.714285714285715,19.0,0,1617.7142857142858,2177.0,0,17.285714285714285,20.0,0,1258.7142857142858,1062.0,0,39.714285714285715,45.0,0,1046.0,999.0,0,14.0,10.0,0
109,2022-02-21/2022-02-27,577.4285714285714,0.0,0,22.285714285714285,0.0,0,1466.5714285714287,2051.0,0,8.0,7.0,0,504.0,541.0,0,24.571428571428573,22.0,0,533.4285714285714,425.0,0,7.0,5.0,0
110,2022-02-28/2022-03-06,490.57142857142856,265.0,0,15.714285714285714,12.0,0,1263.5714285714287,1565.0,0,8.285714285714286,9.0,0,307.42857142857144,228.0,0,20.428571428571427,15.0,0,327.42857142857144,278.0,0,6.428571428571429,6.0,0
111,2022-03-07/2022-03-13,461.85714285714283,548.0,0,21.142857142857142,24.0,0,778.2857142857143,870.0,0,4.428571428571429,5.0,0,108.28571428571429,0.0,0,7.857142857142857,0.0,0,181.57142857142858,186.0,0,12.285714285714286,9.0,0
112,2022-03-14/2022-03-20,2344.5714285714284,0.0,0,3.857142857142857,0.0,0,572.4285714285714,592.0,0,2.142857142857143,0.0,0,0.0,0.0,0,0.0,0.0,0,131.85714285714286,120.0,0,3.142857142857143,3.0,0
113,2022-03-21/2022-03-27,164.0,0.0,0,11.714285714285714,0.0,0,230.14285714285714,170.0,0,4.857142857142857,0.0,0,0.0,0.0,0,0.0,0.0,0,122.0,119.0,0,20.142857142857142,21.0,0
114,2022-03-28/2022-04-03,165.42857142857142,0.0,0,8.571428571428571,0.0,0,94.42857142857143,116.0,0,1.2857142857142858,1.0,0,322.7142857142857,0.0,0,25.285714285714285,0.0,0,89.42857142857143,98.0,0,1.7142857142857142,0.0,0
115,2022-04-04/2022-04-10,172.57142857142858,0.0,0,6.428571428571429,0.0,0,61.0,53.0,0,2.7142857142857144,3.0,0,134.14285714285714,0.0,0,2.7142857142857144,0.0,0,99.85714285714286,0.0,0,2.2857142857142856,0.0,0
116,2022-04-11/2022-04-17,162.85714285714286,0.0,0,52.142857142857146,0.0,0,57.57142857142857,43.0,0,2.5714285714285716,2.0,0,122.71428571428571,0.0,0,1.7142857142857142,0.0,0,105.71428571428571,0.0,0,0.8571428571428571,0.0,0
117,2022-04-18/2022-04-24,175.71428571428572,0.0,0,26.142857142857142,0.0,0,72.14285714285714,0.0,0,1.2857142857142858,0.0,0,67.57142857142857,0.0,0,1.4285714285714286,0.0,0,171.0,0.0,0,0.5714285714285714,0.0,0
118,2022-04-25/2022-05-01,276.7142857142857,0.0,0,9.714285714285714,0.0,0,70.71428571428571,0.0,0,0.7142857142857143,0.0,0,95.0,0.0,0,1.7142857142857142,0.0,0,242.14285714285714,0.0,0,1.0,0.0,0
119,2022-05-02/2022-05-08,0.0,0.0,0,0.0,0.0,0,116.57142857142857,0.0,0,0.14285714285714285,0.0,0,108.71428571428571,0.0,0,1.4285714285714286,0.0,0,460.85714285714283,0.0,0,1.8571428571428572,0.0,0
120,2022-05-09/2022-05-15,801.5714285714286,0.0,0,6.571428571428571,0.0,0,151.0,0.0,0,0.7142857142857143,0.0,0,240.85714285714286,0.0,0,1.1428571428571428,0.0,0,483.57142857142856,0.0,0,0.14285714285714285,0.0,0
121,2022-05-16/2022-05-22,623.4285714285714,0.0,0,3.7142857142857144,0.0,0,192.85714285714286,0.0,0,0.42857142857142855,0.0,0,410.57142857142856,0.0,0,0.8571428571428571,0.0,0,643.4285714285714,0.0,0,0.5714285714285714,0.0,0
122,2022-05-23/2022-05-29,883.8571428571429,0.0,0,6.857142857142857,0.0,0,242.0,0.0,0,0.5714285714285714,0.0,0,365.42857142857144,0.0,0,0.7142857142857143,0.0,0,801.5714285714286,0.0,0,1.7142857142857142,0.0,0
123,2022-05-30/2022-06-05,1026.0,0.0,0,3.4285714285714284,0.0,0,280.14285714285717,0.0,0,0.2857142857142857,0.0,0,0.0,0.0,0,0.0,0.0,0,818.2857142857143,0.0,0,0.5714285714285714,0.0,0
124,2022-06-06/2022-06-12,963.4285714285714,0.0,0,5.571428571428571,0.0,0,358.42857142857144,0.0,0,1.2857142857142858,0.0,0,970.4285714285714,0.0,0,0.8571428571428571,0.0,0,1071.7142857142858,0.0,0,1.7142857142857142,0.0,0
125,2022-06-13/2022-06-19,1304.142857142857,0.0,0,4.571428571428571,0.0,0,354.2857142857143,0.0,0,0.42857142857142855,0.0,0,677.0,0.0,0,1.4285714285714286,0.0,0,931.7142857142857,0.0,0,1.8571428571428572,0.0,0
126,2022-06-20/2022-06-26,0.0,0.0,0,0.0,0.0,0,404.85714285714283,0.0,0,1.7142857142857142,0.0,0,1078.4285714285713,0.0,0,2.0,0.0,0,968.0,0.0,0,1.4285714285714286,0.0,0
127,2022-06-27/2022-07-03,2171.4285714285716,0.0,0,10.285714285714286,0.0,0,479.0,0.0,0,2.142857142857143,0.0,0,992.1428571428571,0.0,0,2.4285714285714284,0.0,0,1055.4285714285713,0.0,0,2.5714285714285716,0.0,0
128,2022-07-04/2022-07-10,1163.0,0.0,0,5.0,0.0,0,525.1428571428571,0.0,0,1.7142857142857142,0.0,0,0.0,0.0,0,0.0,0.0,0,981.7142857142857,0.0,0,1.8571428571428572,0.0,0
129,2022-07-11/2022-07-17,1103.2857142857142,0.0,0,9.571428571428571,0.0,0,383.85714285714283,0.0,0,0.14285714285714285,0.0,0,2545.714285714286,0.0,0,4.857142857142857,0.0,0,1112.7142857142858,0.0,0,3.142857142857143,0.0,0
130,2022-07-18/2022-07-24,1015.1428571428571,0.0,0,6.857142857142857,0.0,0,698.1428571428571,0.0,0,3.2857142857142856,0.0,0,1495.142857142857,0.0,0,3.857142857142857,0.0,0,981.4285714285714,0.0,0,2.142857142857143,0.0,0
131,2022-07-25/2022-07-31,4195.285714285715,0.0,0,4.571428571428571,0.0,0,473.85714285714283,0.0,0,2.5714285714285716,0.0,0,1444.857142857143,0.0,0,4.428571428571429,0.0,0,838.0,0.0,0,2.2857142857142856,0.0,0
132,2022-08-01/2022-08-07,647.5714285714286,0.0,0,5.142857142857143,0.0,0,414.42857142857144,0.0,0,2.5714285714285716,0.0,0,1188.2857142857142,0.0,0,7.0,0.0,0,735.7142857142857,0.0,0,4.0,0.0,0
133,2022-08-08/2022-08-14,498.42857142857144,0.0,0,5.714285714285714,0.0,0,349.42857142857144,0.0,0,1.0,0.0,0,1182.5714285714287,0.0,0,6.0,0.0,0,669.7142857142857,0.0,0,1.7142857142857142,0.0,0
134,2022-08-15/2022-08-21,364.57142857142856,0.0,0,8.0,0.0,0,298.7142857142857,0.0,0,4.285714285714286,0.0,0,1244.2857142857142,0.0,0,4.857142857142857,0.0,0,505.57142857142856,0.0,0,1.8571428571428572,0.0,0
135,2022-08-22/2022-08-28,363.7142857142857,0.0,0,3.142857142857143,0.0,0,281.14285714285717,0.0,0,2.4285714285714284,0.0,0,1447.5714285714287,0.0,0,5.285714285714286,0.0,0,449.0,0.0,0,2.142857142857143,0.0,0
136,2022-08-29/2022-09-04,257.42857142857144,0.0,0,3.5714285714285716,0.0,0,276.57142857142856,0.0,0,1.5714285714285714,0.0,0,1163.4285714285713,0.0,0,4.0,0.0,0,421.0,0.0,0,1.8571428571428572,0.0,0
137,2022-09-05/2022-09-11,236.42857142857142,0.0,0,2.4285714285714284,0.0,0,223.0,0.0,0,1.8571428571428572,0.0,0,832.1428571428571,0.0,0,3.857142857142857,0.0,0,338.57142857142856,0.0,0,1.1428571428571428,0.0,0
138,2022-09-12/2022-09-18,0.0,0.0,0,0.0,0.0,0,215.28571428571428,0.0,0,3.5714285714285716,0.0,0,517.0,0.0,0,4.571428571428571,0.0,0,355.2857142857143,0.0,0,1.7142857142857142,0.0,0
139,2022-09-19/2022-09-25,492.0,0.0,0,8.285714285714286,0.0,0,217.42857142857142,0.0,0,1.4285714285714286,0.0,0,443.2857142857143,0.0,0,3.7142857142857144,0.0,0,274.14285714285717,0.0,0,1.4285714285714286,0.0,0
140,2022-09-26/2022-10-02,63.0,0.0,0,3.7142857142857144,0.0,0,182.85714285714286,0.0,0,1.4285714285714286,0.0,0,0.0,0.0,0,0.0,0.0,0,268.7142857142857,0.0,0,1.4285714285714286,0.0,0
141,2022-10-03/2022-10-09,135.71428571428572,0.0,0,2.142857142857143,0.0,0,162.0,0.0,0,1.5714285714285714,0.0,0,497.57142857142856,0.0,0,7.0,0.0,0,247.28571428571428,0.0,0,1.0,0.0,0
142,2022-10-10/2022-10-16,110.42857142857143,0.0,0,2.142857142857143,0.0,0,153.57142857142858,0.0,0,1.5714285714285714,0.0,0,194.14285714285714,0.0,0,2.4285714285714284,0.0,0,214.85714285714286,0.0,0,0.8571428571428571,0.0,0
143,2022-10-17/2022-10-23,217.85714285714286,0.0,0,1.8571428571428572,0.0,0,103.71428571428571,0.0,0,0.7142857142857143,0.0,0,181.28571428571428,0.0,0,2.857142857142857,0.0,0,243.14285714285714,0.0,0,1.8571428571428572,0.0,0
144,2022-10-24/2022-10-30,209.85714285714286,0.0,0,1.5714285714285714,0.0,0,148.71428571428572,0.0,0,1.8571428571428572,0.0,0,194.0,0.0,0,0.42857142857142855,0.0,0,545.8571428571429,0.0,0,3.857142857142857,0.0,0
145,2022-10-31/2022-11-06,153.71428571428572,0.0,0,2.142857142857143,0.0,0,147.85714285714286,0.0,0,1.2857142857142858,0.0,0,190.85714285714286,0.0,0,3.4285714285714284,0.0,0,344.2857142857143,0.0,0,0.5714285714285714,0.0,0
146,2022-11-07/2022-11-13,329.0,0.0,0,1.4285714285714286,0.0,0,174.42857142857142,0.0,0,1.7142857142857142,0.0,0,195.57142857142858,0.0,0,1.8571428571428572,0.0,0,483.0,0.0,0,1.5714285714285714,0.0,0
147,2022-11-14/2022-11-20,285.42857142857144,0.0,0,2.857142857142857,0.0,0,177.28571428571428,0.0,0,1.2857142857142858,0.0,0,149.14285714285714,0.0,0,1.7142857142857142,0.0,0,398.14285714285717,0.0,0,1.8571428571428572,0.0,0
148,2022-11-21/2022-11-27,285.57142857142856,0.0,0,3.4285714285714284,0.0,0,203.42857142857142,0.0,0,0.7142857142857143,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
149,2022-11-28/2022-12-04,375.42857142857144,0.0,0,0.8571428571428571,0.0,0,208.85714285714286,0.0,0,2.4285714285714284,0.0,0,196.42857142857142,0.0,0,2.4285714285714284,0.0,0,1316.857142857143,0.0,0,5.428571428571429,0.0,0
150,2022-12-05/2022-12-11,547.4285714285714,0.0,0,3.857142857142857,0.0,0,234.0,0.0,0,1.7142857142857142,0.0,0,744.7142857142857,0.0,0,2.4285714285714284,0.0,0,454.57142857142856,0.0,0,1.5714285714285714,0.0,0
151,2022-12-12/2022-12-18,409.2857142857143,0.0,0,2.857142857142857,0.0,0,189.85714285714286,0.0,0,1.0,0.0,0,465.0,0.0,0,1.7142857142857142,0.0,0,464.7142857142857,0.0,0,3.2857142857142856,0.0,0
152,2022-12-19/2022-12-25,339.42857142857144,0.0,0,4.0,0.0,0,190.85714285714286,0.0,0,2.2857142857142856,0.0,0,630.4285714285714,0.0,0,2.857142857142857,0.0,0,0.0,0.0,0,0.0,0.0,0
153,2022-12-26/2023-01-01,279.7142857142857,0.0,0,6.571428571428571,0.0,0,0.0,0.0,0,0.0,0.0,0,1295.4285714285713,0.0,0,2.0,0.0,0,732.1428571428571,0.0,0,3.7142857142857144,0.0,0
154,2023-01-02/2023-01-08,574.4285714285714,0.0,0,3.857142857142857,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317.57142857142856,0.0,0,2.7142857142857144,0.0,0
155,2023-01-09/2023-01-15,0.0,0.0,0,6.428571428571429,0.0,0,447.42857142857144,0.0,0,5.142857142857143,0.0,0,0.0,0.0,0,0.0,0.0,0,278.57142857142856,0.0,0,2.2857142857142856,0.0,0
156,2023-01-16/2023-01-22,176.0,0.0,0,1.5714285714285714,0.0,0,94.14285714285714,0.0,0,0.7142857142857143,0.0,0,0.0,0.0,0,0.0,0.0,0,152.28571428571428,0.0,0,1.7142857142857142,0.0,0
157,2023-01-23/2023-01-29,203.14285714285714,0.0,0,5.857142857142857,0.0,0,96.57142857142857,0.0,0,1.8571428571428572,0.0,0,0.0,0.0,0,0.0,0.0,0,182.71428571428572,0.0,0,2.7142857142857144,0.0,0
158,2023-01-30/2023-02-05,181.28571428571428,0.0,0,0.0,0.0,0,100.57142857142857,0.0,0,2.2857142857142856,0.0,0,0.0,0.0,0,0.0,0.0,0,178.57142857142858,0.0,0,0.8571428571428571,0.0,0
159,2023-02-06/2023-02-12,171.71428571428572,0.0,0,3.857142857142857,0.0,0,124.57142857142857,0.0,0,0.7142857142857143,0.0,0,0.0,0.0,0,0.0,0.0,0,194.71428571428572,0.0,0,1.5714285714285714,0.0,0
160,2023-02-13/2023-02-19,180.42857142857142,0.0,0,1.2857142857142858,0.0,0,137.42857142857142,0.0,0,1.5714285714285714,0.0,0,0.0,0.0,0,0.0,0.0,0,221.14285714285714,0.0,0,0.42857142857142855,0.0,0
161,2023-02-20/2023-02-26,157.14285714285714,0.0,0,1.1428571428571428,0.0,0,127.14285714285714,0.0,0,0.5714285714285714,0.0,0,0.0,0.0,0,0.0,0.0,0,234.57142857142858,0.0,0,0.42857142857142855,0.0,0
162,2023-02-27/2023-03-05,0.0,0.0,0,0.0,0.0,0,202.85714285714286,0.0,0,0.8571428571428571,0.0,0,0.0,0.0,0,0.0,0.0,0,243.42857142857142,0.0,0,1.5714285714285714,0.0,0
163,2023-03-06/2023-03-12,331.7142857142857,0.0,0,1.5714285714285714,0.0,0,181.42857142857142,0.0,0,2.4285714285714284,0.0,0,0.0,0.0,0,0.0,0.0,0,213.28571428571428,0.0,0,1.5714285714285714,0.0,0
164,2023-03-13/2023-03-19,222.28571428571428,0.0,0,2.142857142857143,0.0,0,138.28571428571428,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,187.57142857142858,0.0,0,1.5714285714285714,0.0,0
165,2023-03-20/2023-03-26,155.85714285714286,0.0,0,2.142857142857143,0.0,0,104.42857142857143,0.0,0,2.7142857142857144,0.0,0,0.0,0.0,0,0.0,0.0,0,151.85714285714286,0.0,0,1.0,0.0,0
166,2023-03-27/2023-04-02,142.57142857142858,0.0,0,0.7142857142857143,0.0,0,91.57142857142857,0.0,0,2.2857142857142856,0.0,0,0.0,0.0,0,0.0,0.0,0,125.14285714285714,0.0,0,0.5714285714285714,0.0,0
167,2023-04-03/2023-04-09,127.0,0.0,0,2.2857142857142856,0.0,0,86.85714285714286,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,138.0,0.0,0,2.0,0.0,0
168,2023-04-10/2023-04-16,111.42857142857143,0.0,0,0.42857142857142855,0.0,0,82.14285714285714,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,119.14285714285714,0.0,0,1.0,0.0,0
169,2023-04-17/2023-04-23,122.14285714285714,0.0,0,0.7142857142857143,0.0,0,56.57142857142857,0.0,0,0.8571428571428571,0.0,0,0.0,0.0,0,0.0,0.0,0,77.85714285714286,0.0,0,0.2857142857142857,0.0,0
170,2023-04-24/2023-04-30,136.28571428571428,0.0,0,0.42857142857142855,0.0,0,61.57142857142857,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,82.42857142857143,0.0,0,1.4285714285714286,0.0,0
171,2023-05-01/2023-05-07,91.71428571428571,0.0,0,2.0,0.0,0,50.714285714285715,0.0,0,0.8571428571428571,0.0,0,5639.571428571428,0.0,0,53.285714285714285,0.0,0,88.71428571428571,0.0,0,1.2857142857142858,0.0,0
172,2023-05-08/2023-05-14,104.5,0.0,0,1.6666666666666667,0.0,0,48.833333333333336,0.0,0,0.0,0.0,0,133.33333333333334,0.0,0,0.6666666666666666,0.0,0,69.83333333333333,0.0,0,1.0,0.0,0
173,2023-05-15/2023-05-21,79.14285714285714,0.0,0,0.8571428571428571,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,64.42857142857143,0.0,0,0.8571428571428571,0.0,0
174,2023-05-22/2023-05-28,76.71428571428571,0.0,0,1.2857142857142858,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,60.285714285714285,0.0,0,0.2857142857142857,0.0,0
175,2023-05-29/2023-06-04,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
176,2023-06-12/2023-06-18,179.71428571428572,0.0,0,5.142857142857143,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,124.71428571428571,0.0,0,2.2857142857142856,0.0,0
177,2023-06-19/2023-06-25,44.42857142857143,0.0,0,1.1428571428571428,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,33.142857142857146,0.0,0,0.7142857142857143,0.0,0
178,2023-06-26/2023-07-02,57.57142857142857,0.0,0,0.2857142857142857,0.0,0,0.0,0.0,0,0.2857142857142857,0.0,0,0.0,0.0,0,0.0,0.0,0,31.0,0.0,0,0.0,0.0,0
179,2023-07-03/2023-07-09,62.714285714285715,0.0,0,0.8571428571428571,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,31.857142857142858,0.0,0,0.0,0.0,0
180,2023-07-10/2023-07-16,174.14285714285714,0.0,0,0.7142857142857143,0.0,0,0.0,0.0,0,0.5714285714285714,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
181,2023-07-17/2023-07-23,74.71428571428571,0.0,0,0.5714285714285714,0.0,0,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
